"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"McMahon, Ryan",641857,2020,172,37,21,6,1,9,34.2,9.3,".215",".295","0.714","26"
"Seager, Corey",608369,2020,212,65,37,12,1,15,15.9,7.3,".307",".358","0.943","41"
"Calhoun, Kole",594777,2020,190,43,18,9,0,16,21.9,12.3,".226",".338","0.864","40"
"Grichuk, Randal",545341,2020,216,59,38,9,0,12,21.2,5.6,".273",".312","0.793","35"
"Goldschmidt, Paul",502671,2020,191,58,39,13,0,6,18.6,16,".304",".417","0.883","21"
"Riley, Austin",663586,2020,188,45,29,7,1,8,23.8,7.8,".239",".301","0.716","27"
"Merrifield, Whit",593160,2020,248,70,49,12,0,9,12.5,4.5,".282",".325","0.765","30"
"Lopez, Nicky",670032,2020,169,34,25,8,0,1,21.4,9.4,".201",".286","0.552","13"
"Lewis, Kyle",641786,2020,206,54,40,3,0,11,29.3,14,".262",".364","0.801","28"
"Peralta, David",444482,2020,203,61,45,10,1,5,20.6,6,".300",".339","0.772","34"
"Biggio, Cavan",624415,2020,220,55,31,16,0,8,23,15.5,".250",".375","0.807","28"
"Alonso, Pete",624413,2020,208,48,26,6,0,16,25.5,10,".231",".326","0.816","35"
"Harper, Bryce",547180,2020,190,51,27,9,2,13,17.6,20.1,".268",".420","0.962","33"
"Ruiz, Rio",547004,2020,185,41,21,11,0,9,22.5,8.3,".222",".286","0.713","32"
"Rosario, Eddie",592696,2020,210,54,34,7,0,13,14.7,8.2,".257",".316","0.792","42"
"Blackmon, Charlie",453568,2020,221,67,48,12,1,6,17.8,7.7,".303",".356","0.804","42"
"White, Evan",657108,2020,182,32,17,7,0,8,41.6,8.9,".176",".252","0.598","26"
"Candelario, Jeimer",600869,2020,185,55,34,11,3,7,23.8,9.7,".297",".369","0.872","29"
"Rendon, Anthony",543685,2020,189,54,33,11,1,9,13.4,16.4,".286",".418","0.915","31"
"Tucker, Kyle",663656,2020,209,56,29,12,6,9,20.2,7.9,".268",".325","0.837","42"
"Reyes, Franmil",614177,2020,211,58,39,10,0,9,28.6,10,".275",".344","0.794","34"
"Muncy, Max",571970,2020,203,39,23,4,0,12,24.2,15.7,".192",".331","0.720","27"
"Frazier, Adam",624428,2020,209,48,34,7,0,7,15.2,7.4,".230",".297","0.661","23"
"Cruz Jr., Nelson",443558,2020,185,56,34,6,0,16,27.1,11.7,".303",".397","0.992","33"
"Semien, Marcus",543760,2020,211,47,30,9,1,7,21.2,10.6,".223",".305","0.679","23"
"Crawford, Brandon",543063,2020,172,44,24,12,0,8,24.4,7.8,".256",".326","0.791","28"
"Conforto, Michael",624424,2020,202,65,44,12,0,9,24.5,10.3,".322",".412","0.927","31"
"La Stella, Tommy",600303,2020,196,55,34,14,2,5,5.3,11.8,".281",".370","0.819","25"
"Taylor, Chris",621035,2020,185,50,30,10,2,8,25.7,12.1,".270",".366","0.842","32"
"Abreu, José",547989,2020,240,76,42,15,0,19,22.5,6.9,".317",".370","0.987","60"
"Walker, Christian",572233,2020,218,59,33,18,1,7,20.6,7.8,".271",".333","0.792","34"
"Anderson, Brian",605119,2020,200,51,32,7,1,11,28.8,9.6,".255",".345","0.810","38"
"Ahmed, Nick",605113,2020,199,53,37,10,1,5,21.2,8.3,".266",".327","0.729","29"
"LeMahieu, DJ",518934,2020,195,71,49,10,2,10,9.7,8.3,".364",".421","1.011","27"
"Robert Jr., Luis",673357,2020,202,47,28,8,0,11,32.2,8.8,".233",".302","0.738","31"
"Solak, Nick",669256,2020,209,56,44,10,0,2,18,7.7,".268",".326","0.670","23"
"Franco, Maikel",596748,2020,223,62,38,16,0,8,15.6,6.6,".278",".321","0.778","38"
"Reddick, Josh",502210,2020,188,46,30,11,1,4,20,9.5,".245",".316","0.694","23"
"Villar, Jonathan",542340,2020,185,43,36,5,0,2,26.1,9.2,".232",".301","0.593","15"
"Seager, Kyle",572122,2020,203,49,28,12,0,9,13.3,12.9,".241",".355","0.788","40"
"Smith, Dominic",642086,2020,177,56,24,21,1,10,22.6,7,".316",".377","0.993","42"
"Trout, Mike",545361,2020,199,56,28,9,2,17,23.2,14.5,".281",".390","0.993","46"
"Altuve, Jose",514888,2020,192,42,28,9,0,5,18.6,8.1,".219",".286","0.630","18"
"Alberto, Hanser",593643,2020,219,62,44,15,0,3,13,2.2,".283",".306","0.699","22"
"Kepler, Max",596146,2020,171,39,21,9,0,9,18.4,11.2,".228",".321","0.760","23"
"Guerrero Jr., Vladimir",665489,2020,221,58,34,13,2,9,15.6,8.2,".262",".329","0.791","33"
"Longoria, Evan",446334,2020,193,49,31,10,1,7,18.7,5.3,".254",".297","0.722","28"
"Moncada, Yoán",660162,2020,200,45,28,8,3,6,31.2,12.1,".225",".320","0.705","24"
"Dickerson, Corey",572816,2020,194,50,37,5,1,7,16.7,7.1,".258",".311","0.713","17"
"Gurriel Jr., Lourdes",666971,2020,208,64,39,14,0,11,21.4,6.3,".308",".348","0.882","33"
"Gregorius, Didi",544369,2020,215,61,39,10,2,10,11.8,6.3,".284",".339","0.827","40"
"Cabrera, Miguel",408234,2020,204,51,37,4,0,10,22.1,10.4,".250",".329","0.746","35"
"Olson, Matt",621566,2020,210,41,22,4,1,14,31.4,13.9,".195",".310","0.734","42"
"Pillar, Kevin",607680,2020,208,60,39,12,3,6,18.4,5.8,".288",".336","0.798","26"
"Story, Trevor",596115,2020,235,68,40,13,4,11,24.3,9.3,".289",".355","0.874","28"
"Davis, J.D.",605204,2020,190,47,32,9,0,6,24.5,13.5,".247",".371","0.760","19"
"Soto, Juan",665742,2020,154,54,27,14,0,13,14.3,20.9,".351",".490","1.185","37"
"Arcia, Orlando",606115,2020,173,45,29,10,1,5,16.9,7.4,".260",".317","0.733","20"
"Bellinger, Cody",641355,2020,213,51,29,10,0,12,17.3,12.3,".239",".333","0.788","30"
"Hernández, Teoscar",606192,2020,190,55,32,7,0,16,30.4,6.8,".289",".340","0.919","34"
"Ozuna, Marcell",542303,2020,228,77,45,14,0,18,22.5,14.2,".338",".431","1.067","56"
"Laureano, Ramón",657656,2020,183,39,24,8,1,6,26.1,10.8,".213",".338","0.704","25"
"Jiménez, Eloy",650391,2020,213,63,35,14,0,14,24.8,5.3,".296",".332","0.891","41"
"Crawford, J.P.",641487,2020,204,52,41,7,2,2,16.8,9.9,".255",".336","0.674","24"
"Pollock, AJ",572041,2020,196,54,29,9,0,16,21.4,5.7,".276",".314","0.880","34"
"Betts, Mookie",605141,2020,219,64,38,9,1,16,15.4,9.8,".292",".366","0.928","39"
"Moran, Colin",592567,2020,178,44,24,10,0,10,26,9.5,".247",".325","0.797","23"
"Verdugo, Alex",657077,2020,201,62,40,16,0,6,20.4,7.7,".308",".367","0.845","15"
"Escobar, Eduardo",500871,2020,203,43,29,7,3,4,18.5,6.8,".212",".270","0.605","20"
"Gallo, Joey",608336,2020,193,35,17,8,0,10,35,12.8,".181",".301","0.679","26"
"Sanó, Miguel",593934,2020,186,38,13,12,0,13,43.9,8.8,".204",".278","0.756","25"
"Marte, Ketel",606466,2020,181,52,35,14,1,2,10.8,3.6,".287",".323","0.732","17"
"Votto, Joey",458015,2020,186,42,23,8,0,11,19.3,16.6,".226",".354","0.800","22"
"Lindor, Francisco",596019,2020,236,61,40,13,0,8,15.4,9,".258",".335","0.750","27"
"Santana, Carlos",467793,2020,206,41,26,7,0,8,16.9,18.4,".199",".349","0.699","30"
"Núñez, Renato",600524,2020,195,50,28,10,0,12,29.6,7.9,".256",".324","0.816","31"
"Ramírez, José",608070,2020,219,64,30,16,1,17,16.9,12.2,".292",".386","0.993","46"
